Leto,TRWstd,T_jun-jul
2009,0.895,20.98
2008,0.879,21.66
2007,0.932,22.68
2006,0.902,21.03
2005,0.843,20.81
2004,0.935,20.77
2003,0.888,22.21
2002,1.059,21.96
2001,0.914,20.61
2000,0.796,21.71
1999,0.955,21.51
1998,1.052,21.84
1997,0.968,20.92
1996,0.838,21.12
1995,0.846,20.66
1994,0.987,21.14
1993,1.097,20.46
1992,1.184,19.44
1991,1.128,20.05
1990,1.223,20.53
1989,1.012,19.03
1988,0.671,21.54
1987,0.766,19.89
1986,1.111,19.33
1985,1.150,19.98
1984,1.098,19.06
1983,1.150,19.36
1982,0.978,20.79
1981,1.091,20.31
1980,1.149,18.81
1979,1.128,20.23
1978,1.051,19.57
1977,1.155,19.84
1976,1.200,18.98
1975,1.262,19.46
1974,1.090,19.35
1973,1.178,19.91
1972,1.154,20.34
1971,1.175,19.95
1970,1.395,19.89
1969,1.225,18.82
1968,1.044,19.99
1967,1.233,19.63
1966,1.181,19.97
1965,1.029,20.51
1964,1.164,20.63
1963,0.832,20.94
1962,0.965,19.94
1961,1.184,20.06
1960,1.206,19.51
1959,1.092,19.19
1958,0.846,20.25
1957,1.009,21.22
1956,1.349,19.61
1955,0.971,20.19
1954,0.867,21.14
1953,0.883,21.03
1952,0.820,21.75
1951,0.873,21.05
