Leto,TRWstd,T_maj-jul
2009,1.063,7.10
2008,1.259,6.97
2007,1.020,7.57
2006,1.050,7.57
2005,1.231,6.83
2004,1.110,5.60
2003,1.270,9.23
2002,1.092,7.77
2001,1.131,6.80
2000,1.127,6.83
1999,0.928,6.70
1998,1.201,6.87
1997,0.924,5.93
1996,0.928,6.13
1995,1.084,6.37
1994,1.120,7.17
1993,1.090,6.40
1992,0.981,6.53
1991,0.992,4.73
1990,0.810,6.27
1989,0.770,5.17
1988,0.850,6.13
1987,1.162,4.97
1986,1.297,6.33
1985,0.903,5.47
1984,0.945,4.33
1983,0.991,7.17
1982,0.906,6.60
1981,0.721,5.33
1980,0.688,3.53
1979,1.077,5.40
1978,0.749,3.90
1977,0.865,5.07
1976,1.001,6.33
1975,0.784,5.33
1974,0.825,4.27
1973,0.886,5.80
1972,0.927,5.20
1971,0.959,5.60
1970,1.061,4.70
1969,1.044,6.07
1968,0.890,5.23
1967,1.026,5.87
1966,0.955,5.37
1965,1.009,4.93
1964,1.063,6.70
1963,0.952,5.87
1962,1.013,3.97
1961,0.727,4.87
1960,1.015,5.03
1959,0.857,5.63
1958,1.024,6.73
1957,0.922,5.17
1956,0.928,4.97
1955,0.905,4.70
1954,0.864,4.60
1953,0.915,5.67
1952,1.203,6.57
1951,1.446,5.47
1950,1.247,7.67
1949,1.017,5.23
1948,0.772,4.57
1947,1.040,7.17
1946,0.770,6.63
1945,1.105,7.50
1944,1.062,4.77
1943,0.919,5.17
1942,0.934,5.37
1941,0.997,4.47
1940,0.873,4.13
1939,0.874,4.47
1938,0.879,4.47
1937,0.964,6.20
1936,0.963,5.33
1935,1.116,5.80
1934,0.966,6.20
1933,0.783,3.90
1932,0.959,5.07
1931,1.234,7.20
1930,1.072,5.37
1929,0.946,6.27
1928,1.095,5.23
1927,0.992,5.97
1926,0.699,3.50
1925,1.052,4.83
1924,1.170,5.93
1923,0.757,4.73
1922,1.319,5.70
1921,1.030,5.80
1920,0.848,6.27
1919,0.992,2.53
1918,0.896,4.07
1917,1.463,6.27
1916,0.975,4.70
1915,1.093,5.83
1914,0.745,3.73
1913,0.807,3.80
1912,1.097,5.03
1911,0.910,5.07
1910,0.988,4.20
1909,0.889,3.63
1908,1.108,6.53
1907,0.835,5.70
1906,0.765,4.47
1905,0.960,6.03
1904,1.160,6.77
1903,0.805,4.50
1902,0.879,3.07
1901,1.071,4.73
1900,1.075,5.83
1899,0.934,4.27
1898,0.865,3.97
1897,0.872,4.73
1896,0.996,4.30
1895,1.053,4.53
1894,0.869,4.80
1893,0.908,4.33
1892,1.011,4.63
1891,0.858,4.77
1890,0.702,4.73
1889,1.103,6.07
1888,1.063,4.53
1887,1.219,4.97
1886,1.028,4.80
1885,1.175,4.83
1884,0.668,4.17
1883,1.046,4.63
1882,0.774,4.73
1881,1.052,5.43
1880,0.936,5.47
1879,0.886,3.27
1878,0.831,4.97
1877,1.036,5.33
1876,1.005,4.77
1875,1.071,6.17
1874,1.197,5.23
1873,1.285,4.33
1872,0.924,5.97
1871,0.841,3.33
1870,1.224,6.40
