Leto,MVA,T_Apr
2012,7.742872,11.252
2011,7.158752,13.247
2010,7.581411,11.347
2009,6.665055,13.057
2008,6.509176,10.587
2007,6.594547,14.387
2006,6.751628,11.347
2005,7.233816,10.682
2004,6.103399,10.587
2003,6.762654,10.207
2002,6.471584,10.017
2001,6.467793,10.017
2000,7.020901,13.342
1999,6.459063,11.347
1998,6.862137,10.872
1997,6.176088,8.497
1996,5.904713,10.492
1995,6.158587,11.157
1994,6.408448,10.017
1993,6.709709,11.062
1992,6.202738,10.587
1991,6.115825,9.352
1990,6.061703,9.067
1989,6.709905,10.492
1988,6.829694,10.302
1987,6.397096,10.967
1986,6.228774,10.112
1985,5.141589,9.257
1984,5.45688,9.162
1983,5.745429,11.822
1982,5.696386,8.402
1981,5.501568,10.397
1980,5.877752,7.927
1979,5.52998,8.782
1978,5.52767,8.497
1977,5.930548,8.592
1976,5.753302,9.732
1975,5.740984,9.922
1974,6.26117,9.447
1973,5.132916,7.832
1972,5.87815,10.017
1971,6.072539,11.062
1970,5.987214,8.497
1969,5.717269,9.542
1968,7.366468,12.202
1967,6.018826,8.877
1966,6.002758,11.632
1965,5.660536,8.497
1964,6.503128,10.967
1963,5.872606,10.872
1962,5.598461,9.732
1961,7.185669,12.677
1960,6.162893,9.732
1959,6.367551,10.492
1958,5.451918,7.642
1957,6.196542,9.732
1956,5.534943,8.307
1955,5.695275,8.687
1954,6.320875,8.497
1953,6.012201,10.967
1952,6.422257,12.202
1951,6.325618,9.827
1950,6.038758,9.542
1949,6.061522,12.107
1948,6.14845,10.967
1947,5.91659,12.202
1946,6.48983,11.727
1945,6.007873,10.207
1944,5.954555,10.682
1943,5.961035,10.967
1942,5.268216,8.592
1941,5.499489,8.687
1940,6.230082,9.922
1939,5.810427,12.012
1938,5.836806,6.787
1937,5.604513,8.212
1936,5.962523,9.637
1935,5.990172,8.687
1934,5.979598,11.917
