VLA,T_jul_nov,T_jan,T_apr,T_maj,T_jun
5.553094529,15.8,2.8,11.8,17,20.6
5.7555101,16.54,5.4,13.1,15.7,20.2
5.544010636,16.7,2,12.4,14.8,19.8
5.504532411,15.42,1.6,11.4,16.1,21.3
5.214768991,15.1,1.5,13.5,17,20
5.177069035,16,-1.5,11.5,15.3,20.3
5.280107804,15.12,-1.5,13.3,18.1,18.9
4.801718972,14.48,2.5,10.7,16.9,20.3
4.929247733,16.26,4.9,14.7,17.2,20.9
4.859617427,14.56,-1.6,11.5,15.5,20.5
4.934110861,15.22,0.1,10.8,16.3,19.5
4.636867695,15.86,-0.3,10.7,14,18.8
5.156922297,15.44,-1.1,10.3,18.3,23.5
4.983111304,15.24,-0.6,10.1,17.2,21.1
4.905264365,15.92,3.4,10.1,17.2,18.3
4.987420105,14.84,-1.6,13.6,17,20.9
4.610009871,14.7,0.6,11.5,16.7,19.1
4.702064658,14.36,3.2,11,15.8,20.7
4.384405688,14.04,-0.5,8.5,16.2,19
4.594399529,14.74,-0.8,10.6,16,19.7
4.645277813,15.66,1,11.3,15.1,17
4.197095388,14,3.4,10.1,15.2,19.3
4.642846289,15.46,0.9,11.2,17,19.2
4.413022696,14.84,0.6,10.7,16.1,18.5
4.111324177,14.14,0.7,9.4,12.1,18.2
4.468954459,13.78,-0.5,9.1,16.2,17.7
4.703603428,14.14,-0.7,10.6,14.9,16.5
5.194785391,14.8,3.8,10.4,15.3,17.4
4.192080048,14.02,-3.4,11.1,13.3,17.8
4.629881136,14.02,0.1,10.2,17.6,17.4
4.071692253,13.8,-5,9.3,15.2,16.7
4.378803586,13.92,-0.5,9.2,12.8,17.3
4.97047899,15.14,1.3,12,15.2,18.3
4.438228308,14.08,-1.9,8.4,14.9,19
4.107789836,13.18,-4,10.5,14.3,18.2
4.550805537,13.16,-1.3,7.9,12.2,16.9
4.241545725,12.04,-2.2,8.8,15.5,19.5
4.551911121,13.44,0.4,8.5,12.3,17.1
4.323334247,13.64,1.9,8.6,14.2,18.3
4.428984457,14,0.2,9.8,15.1,18.4
4.660726432,13.6,4.3,10,15.6,16.5
4.566142799,13.24,1.4,9.5,14,16.2
4.486121308,12.8,-0.1,7.8,15.8,18.5
4.618181635,13.68,-1.8,10.1,14,18.3
4.716477271,14.46,-1,11.2,15.8,16.8
4.171617752,14.3,0.1,8.5,12.6,19.1
4.285027569,13.84,-1.6,9.6,16.8,17.2
4.655288364,14.9,-3.1,12.4,14.9,17.8
4.544490815,13.82,-1.5,8.9,15.7,17.3
4.560652062,12.9,-3.3,11.8,15,19.3
4.196932205,14.1,-0.5,8.5,13.4,18.4
4.469861849,15.32,-5.7,11.1,15.2,20.1
4.466333424,13.68,-6.2,11,14.1,18.2
4.495214153,14.54,0.1,9.8,13.3,16
4.891976254,13.78,-1.9,12.9,13.5,19
