Leto,T_apr-maj,EW,MVA
2015,14.40,0.71060,0.057293
2014,14.40,0.78869,0.057812
2013,13.60,0.94536,0.053342
2012,13.75,0.93405,0.054830
2011,15.25,0.87274,0.052861
2010,13.40,0.93202,0.052086
2009,15.70,1.00940,0.052079
2008,13.80,0.96905,0.047234
2007,15.95,0.84810,0.049780
2006,13.50,0.93845,0.047975
2005,13.55,0.95917,0.048809
2004,12.35,0.97488,0.045111
2003,14.30,1.02488,0.052170
2002,13.65,1.01821,0.048946
2001,13.65,0.98821,0.048362
2000,15.30,1.11607,0.050426
1999,14.10,1.06512,0.046534
1998,13.40,0.86821,0.046844
1997,12.35,0.95262,0.044550
1996,13.30,0.90786,0.046425
1995,13.20,1.02536,0.047108
1994,12.65,1.08036,0.042630
1993,14.10,0.99286,0.048261
1992,13.40,1.01667,0.046129
1991,10.75,1.02524,0.042172
1990,12.65,0.88571,0.047935
1989,12.75,1.09845,0.047734
1988,12.85,1.07440,0.052789
1987,12.20,1.16964,0.044645
1986,13.90,1.15679,0.047372
1985,12.25,0.90619,0.042350
1984,11.00,1.01726,0.045855
1983,13.60,0.88393,0.051388
1982,11.65,1.01500,0.046342
1981,12.40,0.93048,0.043497
1980,10.05,1.03583,0.047960
1979,12.15,0.94095,0.044798
1978,10.40,1.01821,0.048443
1977,11.40,0.96298,0.045705
1976,12.45,1.01869,0.047710
1975,12.80,0.87524,0.049568
1974,11.75,0.88310,0.050319
1973,11.80,0.95845,0.050268
1972,12.05,1.05893,0.049527
1971,13.50,0.94583,0.049706
1970,10.55,1.04250,0.046386
1969,13.20,0.99000,0.044623
1968,13.65,1.04845,0.046276
1967,12.30,1.05095,0.046592
1966,13.40,1.05048,0.044136
1965,10.95,1.12869,0.041117
1964,13.15,1.07190,0.045134
1963,12.55,0.96274,0.045011
1962,11.55,1.04048,0.045512
1961,13.20,1.08560,0.049509
1960,12.20,1.11167,0.051956
