Leto,TRWstd,T_apr-jul
2013,0.747,17.63
2012,0.641,17.88
2011,0.772,17.90
2010,0.788,17.50
2009,0.841,18.00
2008,0.686,17.33
2007,0.671,18.70
2006,0.669,17.78
2005,0.809,16.93
2004,0.839,16.10
2003,0.750,18.68
2002,0.611,17.43
2001,0.876,16.88
2000,0.937,17.85
1999,0.788,17.05
1998,0.705,17.25
1997,0.832,15.95
1996,0.888,16.35
1995,0.925,16.55
1994,0.803,16.78
1993,1.022,16.95
1992,0.988,16.63
1991,0.976,15.38
1990,0.827,15.80
1989,0.890,15.55
1988,0.943,16.28
1987,1.212,15.90
1986,1.369,16.20
1985,1.168,15.60
1984,1.131,14.55
1983,0.912,17.03
1982,1.050,15.85
1981,1.107,15.65
1980,1.175,13.83
1979,0.872,15.65
1978,1.087,13.93
1977,1.070,15.05
1976,0.993,15.95
1975,1.094,15.48
1974,1.027,14.85
1973,1.142,15.43
1972,1.085,15.45
1971,0.969,16.18
1970,1.476,14.98
1969,1.279,15.95
1968,0.908,16.18
1967,1.143,15.88
1966,1.116,16.15
1965,1.398,14.88
1964,1.148,16.68
1963,1.188,15.98
1962,1.363,14.35
1961,1.301,15.98
1960,1.304,15.28
1959,1.329,15.88
1958,1.195,15.98
1957,0.986,15.18
1956,1.337,14.88
1955,1.256,14.45
1954,1.476,14.58
1953,1.306,15.85
1952,0.954,16.98
1951,1.449,15.48
1950,0.950,17.33
1949,1.089,15.58
1948,1.154,15.28
1947,1.320,17.18
1946,0.798,16.73
1945,0.856,16.83
1944,1.061,14.75
1943,1.124,15.25
1942,1.069,15.25
